sim_number;total_TR;total_PRE;total_EVA;total_INF;2yr;5yr;10yr;20yr
sim1;86097.1;24548.6;2099.99;8776.2;0.063;0.089;0.114;0.144
sim2;35246.77;24548.6;5853.29;12676.88;0.029;0.047;0.064;0.069
sim3;57667.26;24548.6;3470.71;11888.48;0.048;0.071;0.089;0.111
sim4;48405.84;24548.6;5656.26;10803.32;0.035;0.056;0.075;0.083
sim5;54742.72;24548.6;4649.86;11148.22;0.039;0.056;0.071;0.088
sim6;41181.24;24548.6;6810.21;10661.24;0.028;0.048;0.058;0.066
sim7;64815.55;24548.6;5406.13;8472.1;0.047;0.068;0.084;0.107
sim8;45216.19;24548.6;6646.34;10199.65;0.034;0.048;0.062;0.074
sim9;52395.84;24548.6;6642.47;9066.13;0.036;0.055;0.071;0.088
sim10;56598.83;24548.6;2966.31;12562.73;0.049;0.082;0.098;0.126
sim11;45894.97;24548.6;6461.74;10305.27;0.038;0.057;0.073;0.085
sim12;52291.19;24548.6;4398.91;11594.17;0.045;0.068;0.09;0.108
sim13;65006.78;24548.6;2923.97;11271.03;0.051;0.077;0.097;0.122
sim14;41370.12;24548.6;4331.53;13577.65;0.028;0.052;0.07;0.082
sim15;30798.38;24548.6;6996.36;12109.8;0.027;0.047;0.059;0.071
sim16;42749.85;24548.6;4397.38;13276.89;0.026;0.053;0.07;0.082
sim17;73953.94;24548.6;2169.14;10629.48;0.055;0.088;0.111;0.137
sim18;49502.6;24548.6;5318.01;11298.36;0.033;0.051;0.066;0.075
sim19;40243.31;24548.6;6771.44;10862.18;0.034;0.055;0.071;0.082
sim20;45792.11;24548.6;4317.38;12888.36;0.032;0.059;0.076;0.086
sim21;31332.82;24548.6;7833.32;11093.81;0.03;0.047;0.058;0.069
sim22;44061.98;24548.6;7756.22;9146.12;0.031;0.046;0.061;0.067
sim23;63311.7;24548.6;4017.17;10440.19;0.044;0.068;0.084;0.109
sim24;51886.23;24548.6;3507.78;12762.6;0.043;0.068;0.089;0.107
sim25;33773.22;24548.6;7777.48;10765.13;0.032;0.047;0.059;0.078
sim26;40861.53;24548.6;5366.27;12626.89;0.036;0.051;0.062;0.085
sim27;68955.45;24548.6;4213.29;9145.66;0.051;0.074;0.094;0.114
sim28;47375.82;24548.6;6746.12;9749.63;0.031;0.05;0.069;0.073
sim29;40424.76;24548.6;5636.89;12099.97;0.034;0.058;0.077;0.081
sim30;56635.45;24548.6;3097.1;12407.03;0.042;0.069;0.091;0.104
sim31;51245.07;24548.6;5506.0;10526.9;0.048;0.069;0.084;0.112
sim32;58448.3;24548.6;3357.52;11785.67;0.058;0.084;0.102;0.135
sim33;38419.1;24548.6;6077.42;12276.27;0.026;0.04;0.054;0.057
sim34;66036.7;24548.6;2850.78;11188.54;0.053;0.081;0.1;0.126
sim35;58563.69;24548.6;5173.99;10016.9;0.038;0.056;0.067;0.083
sim36;48984.18;24548.6;4717.68;11760.67;0.037;0.066;0.08;0.101
sim37;64228.06;24548.6;4246.36;9865.98;0.053;0.074;0.096;0.122
sim38;65562.5;24548.6;3335.24;10781.71;0.05;0.076;0.096;0.121
sim39;60733.65;24548.6;2832.51;12068.06;0.057;0.083;0.102;0.13
sim40;40808.1;24548.6;4388.99;13604.96;0.032;0.052;0.073;0.077
sim41;48915.5;24548.6;6471.32;9811.2;0.037;0.059;0.073;0.085
sim42;59857.1;24548.6;4058.67;10944.56;0.044;0.063;0.08;0.099
sim43;53051.02;24548.6;4065.87;12026.95;0.047;0.069;0.085;0.11
sim44;47502.89;24548.6;5730.79;10865.72;0.038;0.058;0.072;0.091
