GR_DRAIN;BC_Outflow;BC_Drain;GS_Outflow;Sim
0;0;0;0;0
192.328;189.167;5504.559;16839.319;1
243.223;0.184;649.004;29586.946;2
486.589;7666.265;16033.003;34875.902;3
192.33;575.752;7218.825;6338.988;4
96.144;0.184;649.004;46112.122;5
243.215;4174.091;17999.818;54642.697;6
288.474;0;0;22164.487;7
729.96;1297.093;8263.785;11708.027;8
192.33;6347.162;14530.86;1180.487;9
243.215;27475.372;17280.078;63265.431;10
486.586;835.689;11007.974;6185.403;11
288.472;4124.868;9206.825;15426.926;12
192.374;5139.295;14868.61;3765.317;13
96.188;12858.85;21239.14;59398.414;14
96.188;2074.171;11505.135;11311.226;15
486.594;2753.392;10814.081;24114.619;16
729.809;7351.33;12418.334;33510.146;17
384.66;72.069;3221.053;10376.064;18
384.66;78.089;3382.949;27009.261;19
192.374;85089.855;22491.159;11091.712;20
486.582;82.459;2438.631;16106.326;21
288.474;0;0;6745.144;22
192.33;258.886;4404.647;80778.528;23
192.286;0;0;18254.795;24
486.586;16192.539;14728.783;43242.987;25
288.516;88596.263;33780.432;10570.385;26
96.188;361.807;4122.928;33907.613;27
486.438;274.782;3635.179;15012.95;28
973.176;60589.999;19985.713;16405.256;29
384.66;11384.53;14737.075;26680.038;30
243.371;454.595;5081.247;25628.086;31
288.472;0;0;15820.371;32
243.371;2994.063;17566.152;21596.622;33
192.331;745.435;5092.791;20607.098;34
486.582;105126.804;48302.268;0;35
486.738;6249.806;11058.816;20617.54;36
243.371;32952.781;27857.968;15826.45;37
192.33;10838.426;20900.98;40588.686;38
192.374;9929.836;21663.022;18333.427;39
486.582;137.756;2815.747;10421.321;40
243.367;0;0;239840.063;41
243.371;11859.902;22831.198;6848.826;42
96.188;0;0;48091.841;43
96.186;445.761;7093.511;22964.899;44
288.474;734.048;4611.727;12632.464;45
729.96;17184.277;27874.439;0;46
192.286;759.542;5454.389;19127.898;47
96.144;0;0;69641.628;48
96.144;6557.201;17242.054;26931.065;49
486.438;358.248;4240.031;9428.705;50
288.472;1551.429;6250.236;98503.791;51
96.186;3383.641;10913.448;31697.3;52
973.176;13.739;1373.089;8564.067;53
288.517;90.317;2312.78;8527.866;54
243.371;376.036;4331.862;9429.227;55
192.374;888.576;6756.625;67120.755;56
243.215;203.481;3785.717;24808.895;57
96.188;97.174;2476.922;60214.25;58
288.517;671.907;7613.945;6487.261;59
96.144;81103.382;37054.155;911.713;60
729.809;0;0;27633.366;61
973.176;3153.331;13870.35;43952.397;62
729.953;15823.783;14523.814;23309.461;63
243.223;29532.503;29030.065;15619.136;64
486.586;1029.167;6080.113;30885.341;65
973.176;7187.105;27134.564;0;66
192.33;3299.53;14921.848;2901.733;67
288.472;62.63;2364.161;20499.348;68
729.809;13871.79;18494.263;27294.706;69
729.953;203.158;5180.81;113270.896;70
96.142;3851.83;13520.156;13465.077;71
384.66;0;0;34199.457;72
0;34965.211;17795.74;25045.987;73
243.223;984.032;5762.917;55042.76;74
384.66;385.632;5594.849;10227.765;75
192.328;725.711;6067.878;73521.289;76
192.286;3921.527;19186.975;25240.139;77
0;1070.333;7553.131;0;78
96.188;19821.875;24563.694;105418.052;79
288.516;3301.848;8424.455;12283.491;80
192.328;0;0;22297.501;81
486.594;85.599;3078.351;27258.739;82
96.188;0;0;36723.139;83
243.371;0;0;18769.642;84
729.805;17454.421;25871.733;43642.814;85
243.215;916.432;8761.807;20339.432;86
288.517;2409.234;6300.865;63337.181;87
192.33;9536.964;29399.589;113270.896;88
96.144;358.248;4240.031;36840.132;89
486.586;26879.753;31109.933;34331.121;90
243.371;0;0;54916.981;91
96.144;3486.846;12732.15;21290.288;92
486.589;20261.252;24486.295;28242.337;93
96.188;16175.748;18731.261;127474.414;94
486.586;427.226;8510.837;10421.321;95
288.516;27.541;2303.874;19932.269;96
96.144;60.311;2721.714;19683.7;97
192.374;54.253;2469.535;8279.527;98
729.805;413.643;6500.404;11321.71;99
192.33;436.016;6928.902;28844.982;100
486.438;0.926;727.139;60742.674;101
288.517;345.387;5256.241;8471.315;102
192.33;0;0;0;103
192.286;64120.624;22948.711;5436.977;104
288.516;2734.917;6396.549;10646.548;105
243.367;17401.617;35408.011;15095.269;106
192.286;894.679;4255.87;29401.692;107
96.144;60.311;2175.878;25793.902;108
243.367;8979.119;14201.658;8960.162;109
288.516;4458.33;15190.512;5037.912;110
486.594;1825.347;14347.105;2625.879;111
0;4613.587;15538.601;16106.326;112
729.809;342.206;3915.237;60972.241;113
288.516;1636.073;7466.666;6506.802;114
486.586;1799.328;12424.581;43028.562;115
288.472;1545.756;5577.899;17781.163;116
288.472;530.305;4679.209;7278.126;117
486.594;5641.677;10951.313;119139.267;118
243.215;17401.756;25452.079;10744.991;119
729.809;38.281;1753.348;55961.287;120
96.144;0;0;57992.172;121
288.517;315.031;5497.508;20673.112;122
192.331;13814.231;21301.173;8506.636;123
243.367;4361.395;14421.108;55135.062;124
192.328;85086.727;21547.207;39344.929;125
96.186;0;0;53207.285;126
973.176;1303.78;8866.473;30436.483;127
243.367;33585.392;29511.29;9709.507;128
729.809;0;0;8311.504;129
96.144;0;0;68238.213;130
243.223;1056.595;6180.041;24928.271;131
243.367;0;0;40975.736;132
486.586;768.338;8627.048;13671.812;133
192.286;23616.747;20995.433;20554.264;134
486.589;16.488;1443.201;23605.876;135
486.594;1000.536;6032.614;16337.892;136
192.33;64095.815;21242.044;75027.246;137
973.176;153.526;4470.455;25354.722;138
729.96;137.756;2815.747;13212.596;139
486.594;142.4;2989.491;7804.659;140
729.809;107.032;3960.821;12406.814;141
192.328;16.866;2317.042;6094.064;142
288.516;1132.378;10146.655;4284.397;143
192.374;89084.82;31163.074;2321.337;144
243.371;1502.346;6915.59;22662.396;145
486.586;258.701;4218.312;4009.736;146
486.438;2469.086;14413.055;2975.618;147
486.589;221.568;3538.781;36649.517;148
243.223;6401.298;22168.522;25793.894;149
