PR20;TR;BGF;Inv;UNA;TSS
0;0;0;0;0;0
0.28;0.59;0.45;2275334.205;105.3426244;0.83
0.36;0.36;0.22;1386333.5;82.74208716;0.71
0.23;0.44;0.24;2046027.988;73.21624369;0.45
0.33;0.4;0.42;2113380.266;98.28419727;0.96
0.31;0.58;0.31;1336550.564;107.2015744;0.69
0.38;0.29;0.25;1394791.725;78.2529483;0.73
0.22;0.5;0.59;3262409.092;107.8510348;0.65
0.42;0.41;0.37;2794193.763;108.5532136;0.87
0.23;0.36;0.4;2091080.827;75.36185275;0.91
0.16;0.49;0.21;1428370.051;89.39867338;0.19
0.22;0.4;0.31;2206040.193;98.70781844;0.93
0.39;0.27;0.61;3350124.521;111.8091128;0.82
0.46;0.52;0.31;1571386.781;74.67745077;0.9
0.44;0.65;0.15;767187.9884;39.70721693;0.31
0.25;0.52;0.21;881076.6177;91.47587728;0.89
0.37;0.14;0.28;2102487.432;73.31327695;0.77
0.08;0.43;0.36;3258664.208;65.09873381;0.47
0.45;0.56;0.7;3915924.722;79.68322039;0.92
0.31;0.47;0.72;4054588.679;81.75664355;0.82
0.3;0.64;0.28;1514990.982;82.28962897;0.34
0.4;0.54;0.3;2023844.623;98.86756653;0.94
0.44;0.29;0.57;3200541.765;82.08279617;0.93
0.19;0.41;0.36;2038832.334;56.86653219;0.41
0.44;0.62;0.42;2516357.965;65.36451637;0.81
0.33;0.53;0.24;2052529.918;81.57696476;0.23
0.19;0.2;0.46;2684014.074;58.11325031;-0.04
0.17;0.47;0.22;890991.7388;84.05858442;0.74
0.51;0.54;0.34;2685198.032;106.0549969;0.79
0.34;0.35;0.41;3823716.066;48.90082766;0.57
0.16;0.42;0.69;3953541.892;69.56357785;0.69
0.29;0.36;0.2;906423.148;101.914857;0.9
0.36;0.57;0.56;3227382.185;83.36593461;0.81
0.41;0.23;0.17;913729.8056;65.52228632;0.8
0.35;0.32;0.36;2032959.31;63.28069692;0.8
0.38;0.46;0.27;2054178.219;68.54111593;-0.4
0.29;0.25;0.19;1500192.97;75.28935387;0.7
0.44;0.24;0.15;881443.0641;66.29872775;0.42
0.36;0.31;0.36;2035462.559;72.60210896;0.48
0.32;0.53;0.33;1559441.647;70.44365869;0.73
0.58;0.49;0.29;2000248.991;76.23021847;0.97
0.28;0.3;0.09;745913.9185;38.75250368;0.97
0.15;0.39;0.15;834940.9283;64.57519065;0.8
0.37;0.47;0.15;720634.3208;55.88283867;0.53
0.49;0.53;0.28;1041895.972;113.5523109;0.84
0.38;0.44;0.56;3164729.065;62.45135498;0.91
0.42;0.27;0.44;2988042.282;106.6550189;0.55
0.28;0.33;0.5;2739037.502;98.59893959;0.76
0.06;0.49;0.23;1249726.2;39.88517881;0.44
0.47;0.46;0.3;1435923.931;78.0207148;0.74
0.25;0.68;0.3;2611222.304;69.40158077;0.9
