sim;PR2;PR5;PR10;PR20;TR;PHI;Temp;BGF;Inv;Maint;UNA;GA;CO2;TSS;TP;TN;Cu;Pb;Zn
sim1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
sim2;0.29;0.24;0.25;0.28;0.59;0.55;0.002;0.45;2275334.205;122996.9785;105.3426244;1614.908265;3148.518124;0.83;0.79;0.8;0.81;0.83;0.83
sim3;0.4;0.29;0.25;0.36;0.36;0.34;0.0012;0.22;1386333.5;76818.38861;82.74208716;1069.562179;895.8551424;0.71;0.71;0.71;0.71;0.71;0.71
sim4;0.22;0.22;0.25;0.23;0.44;0.41;0.0016;0.24;2046027.988;117080.8556;73.21624369;1554.823203;1050.302508;0.45;0.4;0.41;0.42;0.45;0.45
sim5;0.46;0.33;0.27;0.33;0.4;0.36;0.0023;0.42;2113380.266;119223.7817;98.28419727;1578.227187;3238.029588;0.96;0.92;0.94;0.94;0.96;0.96
sim6;0.33;0.22;0.21;0.31;0.58;0.48;0.002;0.31;1336550.564;76102.42506;107.2015744;1103.175315;2290.101954;0.69;0.69;0.69;0.69;0.69;0.69
sim7;0.41;0.37;0.37;0.38;0.29;0.23;0.0016;0.25;1394791.725;78513.95614;78.2529483;1077.156711;1033.572978;0.73;0.61;0.66;0.67;0.73;0.73
sim8;0.22;0.22;0.25;0.22;0.5;0.45;0.0031;0.59;3262409.092;191154.1125;107.8510348;2554.16835;4909.702966;0.65;0.66;0.65;0.65;0.66;0.65
sim9;0.46;0.34;0.33;0.42;0.41;0.36;0.0023;0.37;2794193.763;159013.8972;108.5532136;2101.697081;1622.094182;0.87;0.84;0.84;0.84;0.88;0.87
sim10;0.24;0.22;0.25;0.23;0.36;0.34;0.002;0.4;2091080.827;118452.441;75.36185275;1553.333258;3092.038574;0.91;0.83;0.86;0.87;0.91;0.91
sim11;0.17;0.07;0.08;0.16;0.49;0.43;0.0012;0.21;1428370.051;78621.10128;89.39867338;1090.447847;874.6127243;0.19;0.13;0.15;0.16;0.19;0.19
sim12;0.21;0.16;0.19;0.22;0.4;0.38;0.0016;0.31;2206040.193;121007.0109;98.70781844;1590.901041;1230.682282;0.93;0.86;0.88;0.89;0.93;0.93
sim13;0.41;0.3;0.33;0.39;0.27;0.25;0.0027;0.61;3350124.521;194015.0974;111.8091128;2554.103142;5023.813582;0.82;0.78;0.79;0.79;0.82;0.82
sim14;0.44;0.4;0.39;0.46;0.52;0.52;0.002;0.31;1571386.781;84999.61887;74.67745077;1122.70885;2169.37848;0.9;0.8;0.84;0.85;0.89;0.9
sim15;0.54;0.39;0.39;0.44;0.65;0.61;0.0012;0.15;767187.9884;41751.0649;39.70721693;557.384524;1078.254605;0.31;0.22;0.26;0.27;0.31;0.31
sim16;0.25;0.22;0.25;0.25;0.52;0.5;0.0012;0.21;881076.6177;43798.20713;91.47587728;647.525873;1250.280369;0.89;0.85;0.87;0.87;0.89;0.9
sim17;0.37;0.35;0.32;0.37;0.14;0.14;0.0016;0.28;2102487.432;118023.9774;73.31327695;1536.032361;1137.307593;0.77;0.71;0.73;0.73;0.77;0.77
sim18;0.1;0.08;0.09;0.08;0.43;0.43;0.002;0.36;3258664.208;191679.1484;65.09873381;2465.287934;1720.229395;0.47;0.43;0.43;0.43;0.47;0.47
sim19;0.49;0.4;0.43;0.45;0.56;0.5;0.0031;0.7;3915924.722;232325.7251;79.68322039;3003.419454;5989.04749;0.92;0.91;0.9;0.9;0.92;0.92
sim20;0.32;0.34;0.34;0.31;0.47;0.46;0.0031;0.72;4054588.679;235240.6254;81.75664355;2994.572953;5952.359996;0.82;0.8;0.8;0.8;0.83;0.82
sim21;0.32;0.22;0.21;0.3;0.64;0.59;0.002;0.28;1514990.982;83457.49938;82.28962897;1140.3405;2111.257295;0.34;0.24;0.28;0.29;0.33;0.34
sim22;0.4;0.35;0.36;0.4;0.54;0.45;0.0023;0.3;2023844.623;118320.0016;98.86756653;1608.517882;1444.000352;0.94;0.93;0.93;0.93;0.94;0.94
sim23;0.44;0.35;0.31;0.44;0.29;0.27;0.0031;0.57;3200541.765;190296.8285;82.08279617;2506.541463;4896.367437;0.93;0.93;0.92;0.92;0.93;0.93
sim24;0.21;0.11;0.15;0.19;0.41;0.39;0.002;0.36;2038832.334;118030.9313;56.86653219;1516.723263;3055.207465;0.41;0.39;0.39;0.4;0.41;0.41
sim25;0.46;0.43;0.42;0.44;0.62;0.57;0.002;0.42;2516357.965;150160.9869;65.36451637;1963.718242;3833.547249;0.81;0.81;0.8;0.8;0.81;0.81
sim26;0.35;0.3;0.29;0.33;0.53;0.52;0.0016;0.24;2052529.918;117325.4917;81.57696476;1576.166396;1033.362226;0.23;0.21;0.21;0.22;0.24;0.23
sim27;0.19;0.16;0.16;0.19;0.2;0.18;0.0023;0.46;2684014.074;157773.2347;58.11325031;2038.198635;3947.566547;-0.04;-0.27;-0.17;-0.15;-0.05;-0.04
sim28;0.19;0.15;0.17;0.17;0.47;0.41;0.0016;0.22;890991.7388;44131.2784;84.05858442;634.2552317;1247.084669;0.74;0.73;0.73;0.73;0.74;0.74
sim29;0.54;0.46;0.45;0.51;0.54;0.5;0.002;0.34;2685198.032;153069.2864;106.0549969;2047.789189;1471.009222;0.79;0.79;0.78;0.78;0.8;0.8
sim30;0.38;0.33;0.32;0.34;0.35;0.34;0.0027;0.41;3823716.066;230350.9476;48.90082766;2952.460388;2057.288391;0.57;0.53;0.52;0.52;0.58;0.58
sim31;0.3;0.13;0.16;0.16;0.42;0.38;0.0035;0.69;3953541.892;233152.1688;69.56357785;2976.324017;5959.368614;0.69;0.59;0.62;0.63;0.69;0.69
sim32;0.29;0.24;0.22;0.29;0.36;0.32;0.002;0.2;906423.148;44534.21391;101.914857;658.0450931;777.0497228;0.9;0.88;0.89;0.89;0.9;0.9
sim33;0.38;0.38;0.41;0.36;0.57;0.55;0.0027;0.56;3227382.185;191380.7473;83.36593461;2511.943216;4866.394478;0.81;0.81;0.81;0.81;0.82;0.81
sim34;0.49;0.37;0.36;0.41;0.23;0.23;0.0012;0.17;913729.8056;44775.07327;65.52228632;598.9006256;532.6316039;0.8;0.67;0.72;0.74;0.79;0.8
sim35;0.4;0.33;0.34;0.35;0.32;0.32;0.0016;0.36;2032959.31;116649.8868;63.28069692;1518.685954;2962.500887;0.8;0.78;0.78;0.78;0.8;0.8
sim36;0.38;0.36;0.37;0.38;0.46;0.41;0.002;0.27;2054178.219;119050.5841;68.54111593;1551.530699;1295.426741;-0.4;-0.8;-0.64;-0.6;-0.41;-0.4
sim37;0.3;0.22;0.21;0.29;0.25;0.23;0.0016;0.19;1500192.97;83093.47013;75.28935387;1133.244312;759.9892944;0.7;0.67;0.68;0.68;0.7;0.7
sim38;0.44;0.34;0.33;0.44;0.24;0.25;0.0008;0.15;881443.0641;43924.92542;66.29872775;602.6624616;489.1031029;0.42;0.18;0.29;0.3;0.41;0.42
sim39;0.37;0.36;0.4;0.36;0.31;0.3;0.002;0.36;2035462.559;117339.6753;72.60210896;1556.562723;3041.039009;0.48;0.41;0.44;0.44;0.48;0.48
