;PC1;PC2;PC3;PC4;PC5;PC6;PC7;PC8;PC9;PC10;PC11;PC12;PC13;PC14;PC15;PC16;PC17;PC18
2yr;-0.1762;0.3672;-0.0388;0.0297;-0.0824;-0.0689;-0.0785;-0.219;0.7419;0.1858;-0.4044;-0.0356;-0.1272;-0.0113;0.0051;0.0013;-0.0054;-0.0001
5yr;-0.2023;0.3997;-0.0289;0.0773;-0.1739;-0.159;-0.1286;0.0092;-0.225;-0.0291;0.1054;0.7894;-0.1862;-0.0068;-0.0012;0.0001;-0.0027;0.0
10yr;-0.1995;0.3848;-0.0329;0.071;-0.1236;-0.1417;-0.1234;0.1427;-0.5057;-0.1642;-0.5376;-0.4023;0.0322;0.0205;0.0057;0.0013;-0.0012;-0.0
20yr;-0.192;0.3947;-0.031;0.0617;-0.1718;-0.2056;-0.1718;-0.087;0.0623;0.0552;0.6949;-0.377;0.248;-0.009;-0.0045;-0.0014;0.009;0.0001
TR;-0.1664;0.3014;-0.0178;-0.0728;0.274;0.4197;0.308;0.1639;-0.0353;-0.0339;0.2042;-0.1831;-0.625;-0.1858;0.0065;0.0084;0.0076;0.0001
PHI;-0.1679;0.3069;-0.0189;-0.0412;0.3013;0.4109;0.3494;-0.0;0.0106;-0.029;-0.0678;0.1769;0.65;0.1849;-0.0111;-0.0095;-0.0043;-0.0
Temp;0.3066;0.1456;0.0101;0.1728;-0.0583;-0.2827;0.6137;-0.542;-0.2127;0.2103;-0.0178;-0.0463;-0.0887;0.0341;0.0019;-0.0123;0.008;0.0002
Total BGF/m2;0.3351;0.1805;0.0497;0.0995;-0.0435;-0.372;0.348;0.7095;0.2437;-0.1068;0.0152;0.0303;0.0704;-0.0297;-0.003;0.0101;-0.0092;-0.0002
Inv;0.417;0.2268;0.079;-0.1118;0.0286;0.153;-0.2352;0.0134;-0.0138;0.0372;0.0425;-0.04;-0.1774;0.6958;-0.269;-0.2878;-0.0185;0.001
Maint;0.4353;0.2349;0.0827;-0.1679;-0.0133;0.1655;-0.2002;-0.0643;-0.0262;-0.0134;-0.0032;0.0094;0.0225;-0.0164;0.5287;0.593;0.1254;-0.0007
UNA;0.1273;0.024;-0.0765;0.8123;0.4965;0.0022;-0.2556;-0.029;0.0144;-0.0384;0.0118;0.0039;-0.0158;-0.0293;0.027;0.0336;0.0036;-0.0001
TSS;-0.0877;0.0046;0.5531;-0.0047;0.096;-0.0965;0.0186;-0.1084;0.0602;-0.3201;0.0176;-0.0;-0.0254;0.0404;0.5595;-0.4785;-0.0708;-0.0024
TP;-0.0826;0.0315;0.2873;-0.2047;0.4023;-0.2241;-0.1287;0.1677;-0.1549;0.7407;-0.0369;0.008;0.0297;-0.0598;0.0508;-0.0056;-0.1726;0.0007
TN;-0.0242;0.0354;0.0315;-0.2518;0.3636;-0.3021;-0.0183;-0.1836;0.0565;-0.4311;0.0239;0.0055;-0.0412;0.0464;-0.2401;0.3239;-0.5659;-0.0026
Cu;-0.061;-0.0149;0.5345;0.17;-0.1663;0.1231;0.0306;0.002;0.0111;-0.0043;-0.0048;-0.008;0.0035;-0.0099;-0.2786;0.2384;0.036;0.7083
Pb;-0.0605;-0.0151;0.5343;0.1724;-0.1699;0.1262;0.0307;0.0034;0.0103;0.0002;-0.0048;-0.0082;0.0035;-0.0092;-0.2803;0.2384;0.0343;-0.7059
Zn;-0.0455;0.0284;0.0861;-0.2373;0.3738;-0.2924;-0.0401;-0.0958;0.0195;-0.1831;-0.0064;0.0183;-0.0075;-0.0326;-0.2096;0.0256;0.7857;-0.0035
GA;0.4302;0.2281;0.0734;-0.1292;-0.0023;0.1616;-0.1909;-0.11;-0.03;-0.0585;-0.0475;0.0389;0.1585;-0.6593;-0.2716;-0.3403;-0.0937;0.0
