"Objective";"Comp.1";"Comp.2";"Comp.3";"Comp.4";"Comp.5";"Comp.6";"Comp.7";"Comp.8";"Comp.9";"Comp.10";"Comp.11";"Comp.12";"Comp.13";"Comp.14";"Comp.15";"Comp.16";"Comp.17";"Comp.18";"Comp.19"
"PR2";0.0648004964375972;0.230327347625984;0.435526166238366;0.00146030387204924;0.00509539480106468;0.0424911710649978;0.0177123609733845;0.687168375579471;0.155955921420756;0.467591654997668;0.0720223570891879;0.173770396722288;0.0161037106207508;0.00988185827271363;0.00145473275594031;0.00260956258657576;0.00097444871928744;0.00208595461826222;0.000827314692161263
"PR5";0.0819534115781507;0.238902484196682;0.435164769751687;-0.019617717037423;0.0170412684097543;-0.0129707895526736;-0.0401002615922922;-0.255140502351743;-0.0556689554807578;0.170224985618691;-0.0874000868466575;-0.79842694685321;0.0443059036463484;0.00969950783808206;-0.00215345536079234;-0.00202492296225107;-0.000581415693387423;-0.00515100242946709;-0.000107289605571185
"PR10";0.0823767800643957;0.245000091817396;0.421211072800168;-0.00811504627791947;0.0454642134035419;-0.0431110356283113;-0.0318059598951671;-0.636056829215644;0.0398163953241219;0.177510891987241;0.151295211596339;0.538034887101768;0.0265467676163846;0.000414123024743235;0.000135254368718407;-0.00269080310296242;0.00375771626292128;0.00181361637708565;0.0014561933408887
"PR20";0.0675355201740101;0.232831012327467;0.441505288357548;-0.0258342991818195;-0.0228500603715534;0.0466081582729683;-0.00848440395748098;0.203628008842212;-0.152927558439322;-0.800455742619104;-0.135040193694904;0.101445440401881;-0.0914196235712366;-0.0192591967421809;0.00012660289522402;0.00215712320028282;-0.00462509579102013;0.0015681295687561;-0.0018156217885991
"TR";0.0484736823907397;-0.00676033826975272;0.0161188527730538;0.702924616646195;-0.0292188899872167;0.0462936270457815;-0.06103113326499;0.0353890407966717;-0.0194125925209972;-0.130741646851604;0.662678012236561;-0.109307259018432;0.114992173711302;-0.115119596486947;-0.00563455941187913;0.00457324464814281;-0.00372159629416837;0.0128108597494389;0.000966684004250012
"PHI";0.0405917478347654;-0.000238344848164406;0.0147905195786427;0.705196171164824;0.0120449509212133;0.0300112433608029;0.0729996614085249;-0.050863576154898;0.0439969772201644;0.101988943322678;-0.667857927663175;0.0945503286949317;-0.106021555359614;0.114301186117167;0.00662735948158195;-0.0052054728549854;0.00421118335530806;-0.0128180189415926;-0.000451398311952461
"Temp";0.257364925506166;0.224932065868207;-0.193417091667759;0.00215779395957713;-0.0831882161732502;-0.149909050426165;-0.891786561724309;0.0425717526223253;0.0974403055703931;-0.00755521581819409;-0.0926499001830738;0.022675314319135;0.0187799293640912;-0.0153996632242084;-0.00374450193125093;0.00145930130375907;-0.00101155203431833;0.00289659826715707;0.000369957852061132
"BGF";0.262463030522592;0.269812615962866;-0.171376197757179;-0.0098217775393705;0.00760711612504272;-0.307601549627445;0.28466453589548;0.0214873416836707;0.305936355875774;-0.143482967138243;-0.0596382968307979;-0.00544114879706054;0.699975733810298;0.210842621434468;0.0107351908787852;-0.00900714282983708;0.0141298808765876;-0.00921410237948478;0.00188219387493218
"Inv";0.245091106488826;0.280009379612998;-0.197503702069146;-0.0315858237338885;0.0396621711143587;0.352154014230667;0.153445771021681;-0.0306225928892819;0.0656781722330941;0.0259236661773706;-0.114939907514595;0.00397926147414855;0.0348755224110017;-0.718379958225734;-0.0666676347200642;0.0101469188927254;-0.0891339788263021;0.348362125544164;0.0458641755894125
"Maint";0.243050863815126;0.279921642855681;-0.201385912447589;-0.0263136619724955;0.0807778610893868;0.354914303241599;0.0982361669926561;-0.0128685019856587;-0.068406883382589;0.021077716661561;0.0473723729638405;-0.00264573562340562;-0.113762700887032;0.0181385454837054;0.0681134407087906;0.0530759310198948;0.149541674911655;-0.783173409774723;-0.123250227568932
