sim,GR_Type,GR_Cluster,Terrain_Cluster,Total_GR_Area,Total_Terrain_Area,Terrain_Cluster_Name,GR_Cluster_Name
1,GR20,GR20,2,0.0,0.0,Mixed Terrain,20cm Green Roof
2,GR20,GR20,2,1444.837105,170.07115997,Mixed Terrain,20cm Green Roof
3,GR5,GR5,1,921.110789,128.45138978,Tree-Heavy Terrain,5cm Green Roof
4,GR5,GR5,1,1427.089996,127.73320746000002,Tree-Heavy Terrain,5cm Green Roof
5,GR20,GR20,0,1427.089996,141.13719071999998,BC-Heavy Terrain,20cm Green Roof
6,GR20,GR20,0,921.110789,152.06452566,BC-Heavy Terrain,20cm Green Roof
7,GR5,GR5,0,938.857898,108.29881287,BC-Heavy Terrain,5cm Green Roof
8,GR20,GR20,1,2354.404551,179.76379942,Tree-Heavy Terrain,20cm Green Roof
9,GR5,GR5,2,1921.5258599999997,170.17122073,Mixed Terrain,5cm Green Roof
10,GR20,GR20,2,1427.089996,116.24326178,Mixed Terrain,20cm Green Roof
11,GR5,GR5,1,938.857898,141.58994891999998,Tree-Heavy Terrain,5cm Green Roof
12,GR5,GR5,2,1433.293762,157.60727935,Mixed Terrain,5cm Green Roof
13,GR20,GR20,1,2365.947894,178.15524806,Tree-Heavy Terrain,20cm Green Roof
14,GR20,GR20,2,1000.4150709999999,122.29377904,Mixed Terrain,20cm Green Roof
15,GR20,GR20,2,494.435864,62.94865996,Mixed Terrain,20cm Green Roof
16,GR20,GR20,2,494.435864,143.09000903999998,Mixed Terrain,20cm Green Roof
17,GR5,GR5,2,1415.5466529999999,120.48570785,Mixed Terrain,5cm Green Roof
18,GR5,GR5,1,2354.404551,110.88338307,Tree-Heavy Terrain,5cm Green Roof
19,GR20,GR20,2,2860.383758,123.03569551999999,Mixed Terrain,20cm Green Roof
20,GR20,GR20,2,2860.383758,134.1891953,Mixed Terrain,20cm Green Roof
21,GR20,GR20,1,1000.4150709999999,139.92542932,Tree-Heavy Terrain,20cm Green Roof
22,GR5,GR5,0,1444.837105,133.68077666,BC-Heavy Terrain,5cm Green Roof
23,GR20,GR20,1,2354.404551,132.13691188,Tree-Heavy Terrain,20cm Green Roof
24,GR20,GR20,2,1433.293762,83.42950068,Mixed Terrain,20cm Green Roof
25,GR20,GR20,1,1859.968687,103.74955485999999,Tree-Heavy Terrain,20cm Green Roof
26,GR5,GR5,1,1433.293762,142.87263371,Tree-Heavy Terrain,5cm Green Roof
27,GR20,GR20,1,1939.272969,98.92566559,Tree-Heavy Terrain,20cm Green Roof
28,GR20,GR20,2,494.435864,129.81936772,Mixed Terrain,20cm Green Roof
29,GR5,GR5,1,1859.968687,177.82050204,Tree-Heavy Terrain,5cm Green Roof
30,GR5,GR5,1,2860.383758,82.07662951,Tree-Heavy Terrain,5cm Green Roof
31,GR20,GR20,2,2860.383758,105.94025868,Mixed Terrain,20cm Green Roof
32,GR5,GR5,0,494.435864,143.60922912,BC-Heavy Terrain,5cm Green Roof
33,GR20,GR20,1,2365.947894,135.99532194,Tree-Heavy Terrain,20cm Green Roof
34,GR5,GR5,2,494.435864,104.46476163,Mixed Terrain,5cm Green Roof
35,GR20,GR20,2,1415.5466529999999,103.13930054,Mixed Terrain,20cm Green Roof
36,GR5,GR5,0,1444.837105,96.69359422,BC-Heavy Terrain,5cm Green Roof
37,GR5,GR5,1,1000.4150709999999,132.82924137,Tree-Heavy Terrain,5cm Green Roof
38,GR5,GR5,2,494.435864,108.22659758,Mixed Terrain,5cm Green Roof
39,GR20,GR20,1,1433.293762,113.26896128,Tree-Heavy Terrain,20cm Green Roof
40,GR20,GR20,2,1000.4150709999999,111.0151472,Mixed Terrain,20cm Green Roof
41,GR5,GR5,0,1444.837105,98.56446152000001,BC-Heavy Terrain,5cm Green Roof
42,GR5,GR5,1,505.979207,67.85292485,Tree-Heavy Terrain,5cm Green Roof
43,GR5,GR5,1,494.435864,104.52039259,Tree-Heavy Terrain,5cm Green Roof
44,GR20,GR20,1,494.435864,86.19607208000001,Tree-Heavy Terrain,20cm Green Roof
45,GR20,GR20,2,505.979207,174.41948312,Mixed Terrain,20cm Green Roof
46,GR20,GR20,0,2354.404551,93.66495075,BC-Heavy Terrain,20cm Green Roof
47,GR5,GR5,2,1921.5258599999997,163.35288787999997,Mixed Terrain,5cm Green Roof
